# CEGHIX — EEX European Gas Spot Index, CEGH VTP Austria
# Volumengewichteter Durchschnittspreis der Day-Ahead- und Wochenendkontrakte, EUR/MWh.
# Quelle: CEGH Day-Ahead-Export (live) + Historie
# Format: JJJJ-MM-TT;Preis

2026-07-18;58,287
2026-07-19;58,287
2026-07-20;60,174
2026-07-21;59,615
2026-07-22;60,676
2026-07-23;63,169
2026-07-24;62,848
2026-07-25;64,278
2026-07-26;64,278
2026-07-27;64,595
2026-07-28;59,537
2026-07-29;57,886
2026-07-30;60,826
2026-07-31;59,570
2026-08-01;60,211
2026-08-02;60,211
2026-08-03;59,403
2026-08-04;58,923
2026-08-05;58,557
2026-08-06;55,366
2026-08-07;56,355
2026-08-08;56,637
2026-08-09;56,637
2026-08-10;57,167
2026-08-11;60,765
2026-08-12;60,746
2026-08-13;61,903
2026-08-14;60,734
2026-08-15;62,141
2026-08-16;62,141
2026-08-17;64,323
2026-08-18;63,161
2026-08-19;63,773
2026-08-20;64,506
2026-08-21;66,245
2026-08-22;67,232
2026-08-23;67,232
2026-08-24;68,761
2026-08-25;69,149
2026-08-26;68,021
2026-08-27;66,490
2026-08-28;68,181
2026-08-29;69,439
2026-08-31;69,439
2026-09-01;70,935
2026-09-02;73,045
2026-09-03;74,864
2026-09-04;73,689
2026-09-05;72,505
2026-09-06;72,505
2026-09-07;72,611
2026-09-08;75,057
2026-09-09;77,381
2026-09-10;80,799
2026-09-11;83,171
2026-09-12;81,673
2026-09-13;81,673
2026-09-14;81,954
2026-09-15;84,741
2026-09-16;81,634
2026-09-17;81,460
2026-09-18;78,504
2026-09-19;79,850
2026-09-20;79,850
2026-09-21;79,952
2026-09-22;76,453
2026-09-23;73,260
2026-09-24;74,240
2026-09-25;76,034
2026-09-26;72,949
2026-09-27;72,949
2026-09-28;73,009
