# CEGHIX — EEX European Gas Spot Index, CEGH VTP Austria
# Volumengewichteter Durchschnittspreis der Day-Ahead- und Wochenendkontrakte, EUR/MWh.
# Quelle: CEGH Day-Ahead-Export (live) + Historie
# Format: JJJJ-MM-TT;Preis

2026-07-18;58,287
2026-07-19;58,287
2026-07-20;60,174
2026-07-21;59,615
2026-07-22;60,676
2026-07-23;63,169
2026-07-24;62,848
2026-07-25;64,278
2026-07-26;64,278
2026-07-27;64,461
2026-07-28;59,537
2026-07-29;57,886
2026-07-30;60,826
2026-07-31;59,570
2026-08-01;60,211
2026-08-02;60,211
2026-08-03;60,274
2026-08-04;58,923
2026-08-05;58,557
2026-08-06;55,366
2026-08-07;56,355
2026-08-08;56,637
2026-08-09;56,637
2026-08-10;56,603
2026-08-11;60,765
2026-08-12;60,746
2026-08-13;61,903
2026-08-14;60,734
2026-08-15;62,141
2026-08-16;62,141
2026-08-17;62,180
2026-08-18;63,161
